Team,PredictedPoints,PredictedRank,Outcome
Man City,84.3421,1,Champion
Arsenal,83.6786,2,Top 4
Hull,68.526,3,Top 4
Brentford,61.6784,4,Top 4
Man United,59.8116,5,Mid-table
Liverpool,59.122,6,Mid-table
Brighton,57.8027,7,Mid-table
Leeds,55.9823,8,Mid-table
Newcastle,55.9765,9,Mid-table
Chelsea,55.9522,10,Mid-table
Aston Villa,52.9518,11,Mid-table
Everton,49.4059,12,Mid-table
Bournemouth,48.9227,13,Mid-table
Nott'm Forest,48.7922,14,Mid-table
Tottenham,46.9008,15,Mid-table
Fulham,44.2729,16,Mid-table
Crystal Palace,43.7288,17,Mid-table
Sunderland,40.4255,18,Relegated
Ipswich,26.8422,19,Relegated
Coventry,3.2702,20,Relegated
