Team,TitleProbability,Top4Probability,RelegationProbability
Man City,0.5079,0.9959,0.0
Arsenal,0.4782,0.9956,0.0
Hull,0.0104,0.7391,0.0
Brentford,0.0011,0.3076,0.0005
Man United,0.0009,0.2209,0.0016
Liverpool,0.0005,0.1918,0.0017
Brighton,0.0003,0.1505,0.0046
Newcastle,0.0003,0.0968,0.0055
Leeds,0.0002,0.1013,0.0057
Chelsea,0.0001,0.1025,0.0047
Aston Villa,0.0001,0.0435,0.0244
Fulham,0.0,0.0021,0.1756
Bournemouth,0.0,0.0138,0.0536
Coventry,0.0,0.0,1.0
Tottenham,0.0,0.0066,0.0946
Nott'm Forest,0.0,0.0133,0.0565
Ipswich,0.0,0.0,0.9699
Sunderland,0.0,0.0003,0.3733
Everton,0.0,0.0162,0.0413
Crystal Palace,0.0,0.0022,0.1865
